"File","Type","Name"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","function","generate_schedule_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","function","p12_knockout_seed_label_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","function","p12_propagate_knockout_winner_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","function","p12_rank_label_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","function","p12_reset_knockout_downstream_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","function","p12_short_ko_label_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","function","prepare_knockout_candidates_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","function","reset_match_score_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","function","update_match_score_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","function","update_match_set_score_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\012_score_schedule_knockout_fix.sql","index","idx_matches_event_display_order"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\013_fix_generate_schedule_jsonb_team_order.sql","function","generate_schedule_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\014_content_pdf_group_order_and_setdiff.sql","drop","function:assign_team_to_group_v2"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\014_content_pdf_group_order_and_setdiff.sql","function","assign_team_to_group_v2"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\014_content_pdf_group_order_and_setdiff.sql","function","setup_groups_v4"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\015_content_pdf_score_finalize_and_knockout_cleanup.sql","function","clear_knockout_bracket_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\015_content_pdf_score_finalize_and_knockout_cleanup.sql","function","finalize_match_score_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\015_content_pdf_score_finalize_and_knockout_cleanup.sql","function","prepare_knockout_candidates_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\015_content_pdf_score_finalize_and_knockout_cleanup.sql","function","update_match_set_score_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\016_content_pdf_knockout_rank_labels.sql","function","p12_knockout_seed_label_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\016_content_pdf_knockout_rank_labels.sql","function","p12_rank_label_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\017_public_workspace_context.sql","function","get_workspace_context_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\018_simplify_generate_knockout_bracket.sql","function","generate_knockout_bracket_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\019_manual_placeholder_knockout_bracket.sql","function","save_manual_knockout_bracket_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\020_accessible_workspaces_and_account_scope.sql","function","list_accessible_workspaces_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\020_accessible_workspaces_and_account_scope.sql","function","list_account_access_summary_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\020_knockout_slots_rank_sources.sql","alter_table","knockout_slots"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\020_knockout_slots_rank_sources.sql","function","clear_knockout_bracket_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\020_knockout_slots_rank_sources.sql","function","save_manual_knockout_bracket_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\020_knockout_slots_rank_sources.sql","index","idx_knockout_slots_event_active"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\020_knockout_slots_rank_sources.sql","index","ux_knockout_slots_active_match_slot"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\020_knockout_slots_rank_sources.sql","policy","knockout_slots_select_tenant_or_super on knockout_slots"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\020_knockout_slots_rank_sources.sql","table","knockout_slots"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\021_resolve_knockout_slots_order.sql","function","resolve_knockout_slots_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\022_sync_knockout_slots_after_group_score_reset.sql","function","p22_assert_group_stage_change_allowed_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\022_sync_knockout_slots_after_group_score_reset.sql","function","p22_sync_knockout_after_group_stage_change_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\022_sync_knockout_slots_after_group_score_reset.sql","function","reset_match_score_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\022_sync_knockout_slots_after_group_score_reset.sql","function","update_match_score_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\023_fix_knockout_resolve_null_metadata.sql","function","resolve_knockout_slots_v1"
"C:\Users\ADMIN\Documents\PIC_HUU\PIC_HUU\supabase\migrations\enterprise_completion_v1\024_event_permission_tree_and_event_admin_accounts.sql","alter_table","account_event_permissions"
